id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,date_year
33374,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0113,1915-01-01,Broadway Central Hotel,Dollars,$,complete,1,31,1915.0
33375,Waldorf Astoria,Waldorf Astoria,,,,,,,1915-0114,1915-01-01,Waldorf Astoria,,,complete,10,12,1915.0
33377,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0116,1915-01-01,Broadway Central Hotel,,,under review,1,28,1915.0
33378,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0117,1915-01-01,Broadway Central Hotel,,,under review,1,33,1915.0
33379,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0118,1915-01-01,Broadway Central Hotel,Dollars,$,under review,1,94,1915.0
33380,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0119,1915-01-01,Broadway Central Hotel,Dollars,$,complete,2,253,1915.0
33381,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0120,1915-01-01,Restaurant name and/or location not given],Dollars,$,complete,1,45,1915.0
33382,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0121,1915-01-01,Broadway Central Hotel,Dollars,$,under review,1,41,1915.0
33383,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0122,1915-01-01,Broadway Central Hotel,,,complete,2,32,1915.0
33384,Broadway Central Hotel,Broadway Central Hotel,,,,,,,1915-0123,1915-01-01,Broadway Central Hotel,Dollars,$,under review,3,222,1915.0
33385,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0124,1915-01-01,Restaurant name and/or location not given],Dollars,$,under review,1,26,1915.0
33386,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0125,1915-01-01,Restaurant name and/or location not given],Dollars,$,complete,1,33,1915.0
33387,Hotel Chamberlin,Hotel Chamberlin,,,,,,,1915-0126,1915-01-01,Hotel Chamberlin,,,complete,3,19,1915.0
33388,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0127,1915-01-01,Restaurant name and/or location not given],Dollars,$,complete,2,65,1915.0
33389,Restaurant name and/or location not given],Restaurant name and/or location not given],,,,,,,1915-0128,1915-01-01,Restaurant name and/or location not given],Dollars,$,under review,2,61,1915.0
